epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,21.4963,0.03026,24.5091,3.02785,0.8926,0.54025,0.59918,0.45687,0.01908,14.6045,1.38192,3.8196e-05,3.8196e-05,3.8196e-05
38,21.9079,0.0273,19.818,2.43608,0.87118,0.54442,0.59499,0.45812,0.01919,15.9002,1.40163,3.91244e-05,3.91244e-05,3.91244e-05
39,22.2905,0.03516,29.2201,3.27052,0.87118,0.54442,0.59499,0.45812,0.01919,15.9002,1.40163,4.00457e-05,4.00457e-05,4.00457e-05
40,22.6712,0.0346,17.6093,3.33832,0.87118,0.54442,0.59499,0.45812,0.01919,15.9002,1.40163,4.09598e-05,4.09598e-05,4.09598e-05
41,23.2477,0.03002,34.5151,2.79707,0.87118,0.54442,0.59499,0.45812,0.01919,15.9002,1.40163,4.18667e-05,4.18667e-05,4.18667e-05
42,23.6589,0.03137,26.5979,2.70677,0.84903,0.54551,0.59369,0.45799,0.01942,15.9582,1.40254,4.27664e-05,4.27664e-05,4.27664e-05
43,24.0311,0.03286,19.4969,3.12408,0.84903,0.54551,0.59369,0.45799,0.01942,15.9582,1.40254,4.3659e-05,4.3659e-05,4.3659e-05
44,24.4594,0.02913,27.4834,2.68357,0.84903,0.54551,0.59369,0.45799,0.01942,15.9582,1.40254,4.45444e-05,4.45444e-05,4.45444e-05
45,24.8541,0.02689,27.8275,2.49582,0.84903,0.54551,0.59369,0.45799,0.01942,15.9582,1.40254,4.54227e-05,4.54227e-05,4.54227e-05
46,25.2895,0.03506,24.9746,3.43131,0.82108,0.54856,0.57225,0.45707,0.01942,16.3595,1.42602,4.62938e-05,4.62938e-05,4.62938e-05
47,25.6677,0.03283,28.6306,3.02304,0.82108,0.54856,0.57225,0.45707,0.01942,16.3595,1.42602,4.71577e-05,4.71577e-05,4.71577e-05
48,26.0617,0.03121,24.8925,3.02699,0.82108,0.54856,0.57225,0.45707,0.01942,16.3595,1.42602,4.80144e-05,4.80144e-05,4.80144e-05
49,26.4493,0.0272,26.6863,2.66659,0.82108,0.54856,0.57225,0.45707,0.01942,16.3595,1.42602,4.8864e-05,4.8864e-05,4.8864e-05
50,26.869,0.02881,28.5174,2.86292,0.78188,0.55,0.56773,0.45417,0.02017,17.2445,1.50231,4.97065e-05,4.97065e-05,4.97065e-05
51,27.2778,0.03151,35.7557,2.72733,0.78188,0.55,0.56773,0.45417,0.02017,17.2445,1.50231,5.05417e-05,5.05417e-05,5.05417e-05
52,27.8514,0.02682,27.3097,2.63258,0.78188,0.55,0.56773,0.45417,0.02017,17.2445,1.50231,5.13698e-05,5.13698e-05,5.13698e-05
53,28.5098,0.02896,20.3657,2.65284,0.78188,0.55,0.56773,0.45417,0.02017,17.2445,1.50231,5.21907e-05,5.21907e-05,5.21907e-05
