epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40842,0.03472,40.25,3.3147,0.80162,0.82848,0.88922,0.62339,0.01719,9.42523,1.2742,0,0,0
2,5.62696,0.03098,36.9388,2.90345,0.79858,0.83232,0.88913,0.61391,0.01704,9.42452,1.26388,1.18642e-06,1.18642e-06,1.18642e-06
3,6.04391,0.03222,37.6439,3.17896,0.84298,0.74669,0.87559,0.62848,0.01729,9.46373,1.27075,2.36567e-06,2.36567e-06,2.36567e-06
4,6.45124,0.03807,40.9824,3.46744,0.81096,0.74951,0.87587,0.61889,0.0178,9.64255,1.29084,3.53775e-06,3.53775e-06,3.53775e-06
5,6.83654,0.03183,36.4216,2.85123,0.72579,0.75,0.87317,0.61677,0.01758,9.6581,1.28041,4.70267e-06,4.70267e-06,4.70267e-06
6,7.20385,0.03543,36.7848,3.22528,0.68951,0.75,0.87695,0.61453,0.0179,9.84268,1.29244,5.86042e-06,5.86042e-06,5.86042e-06
7,7.55035,0.03347,37.7835,3.09254,0.66768,0.75,0.87417,0.61455,0.01801,10.1659,1.30022,7.011e-06,7.011e-06,7.011e-06
8,8.17031,0.03098,36.0489,2.9234,0.61865,0.75,0.88834,0.61122,0.0178,10.1148,1.29484,8.15442e-06,8.15442e-06,8.15442e-06
9,8.55462,0.02925,32.1356,2.87462,0.61865,0.75,0.88834,0.61122,0.0178,10.1148,1.29484,9.29067e-06,9.29067e-06,9.29067e-06
10,8.97036,0.03001,35.4033,2.89588,0.8935,0.55,0.75132,0.54824,0.01816,10.7096,1.30326,1.04198e-05,1.04198e-05,1.04198e-05
11,9.56892,0.03393,39.4411,3.19809,0.8935,0.55,0.75132,0.54824,0.01816,10.7096,1.30326,1.15417e-05,1.15417e-05,1.15417e-05
12,10.1331,0.03319,35.3136,3.31601,0.88488,0.56171,0.70964,0.55289,0.0187,11.16,1.32099,1.26564e-05,1.26564e-05,1.26564e-05
13,10.6332,0.02948,35.1771,2.59143,0.88488,0.56171,0.70964,0.55289,0.0187,11.16,1.32099,1.3764e-05,1.3764e-05,1.3764e-05
14,11.0821,0.03205,32.3397,3.10241,0.87355,0.564,0.64338,0.51132,0.01935,12.1334,1.36202,1.48644e-05,1.48644e-05,1.48644e-05
15,11.5258,0.03487,33.3087,3.29989,0.87355,0.564,0.64338,0.51132,0.01935,12.1334,1.36202,1.59577e-05,1.59577e-05,1.59577e-05
16,11.98,0.03875,48.0292,2.92591,0.89583,0.54322,0.6311,0.52426,0.01933,12.3454,1.35536,1.70438e-05,1.70438e-05,1.70438e-05
17,12.4139,0.03174,33.9997,3.35742,0.89583,0.54322,0.6311,0.52426,0.01933,12.3454,1.35536,1.81227e-05,1.81227e-05,1.81227e-05
18,12.886,0.04186,39.3654,3.77447,0.89738,0.54402,0.6311,0.49862,0.01915,12.4789,1.36754,1.91944e-05,1.91944e-05,1.91944e-05
19,13.3077,0.03345,27.4925,3.19046,0.89738,0.54402,0.6311,0.49862,0.01915,12.4789,1.36754,2.0259e-05,2.0259e-05,2.0259e-05
20,13.764,0.02758,28.13,2.83621,0.89648,0.54722,0.5882,0.48301,0.01927,13.0173,1.37899,2.13164e-05,2.13164e-05,2.13164e-05
21,14.1762,0.03319,31.6175,3.2957,0.89648,0.54722,0.5882,0.48301,0.01927,13.0173,1.37899,2.23667e-05,2.23667e-05,2.23667e-05
22,14.6157,0.03751,37.7809,3.49747,0.8387,0.55,0.57651,0.45768,0.01909,13.3883,1.38097,2.34098e-05,2.34098e-05,2.34098e-05
23,15.0394,0.03554,34.3178,3.48892,0.8387,0.55,0.57651,0.45768,0.01909,13.3883,1.38097,2.44457e-05,2.44457e-05,2.44457e-05
24,15.6344,0.03061,50.7012,2.65577,0.8387,0.55,0.57651,0.45768,0.01909,13.3883,1.38097,2.54744e-05,2.54744e-05,2.54744e-05
25,16.0626,0.03731,40.7677,3.32891,0.90075,0.5399,0.57548,0.45735,0.0189,13.3462,1.37327,2.6496e-05,2.6496e-05,2.6496e-05
26,16.4806,0.0258,17.0462,2.37925,0.90075,0.5399,0.57548,0.45735,0.0189,13.3462,1.37327,2.75104e-05,2.75104e-05,2.75104e-05
27,16.8863,0.03295,21.7242,3.24733,0.90075,0.5399,0.57548,0.45735,0.0189,13.3462,1.37327,2.85177e-05,2.85177e-05,2.85177e-05
28,17.3438,0.03176,31.4617,2.69561,0.90079,0.52809,0.58579,0.46397,0.01855,13.7436,1.35625,2.95178e-05,2.95178e-05,2.95178e-05
29,17.8915,0.02786,25.419,2.71396,0.90079,0.52809,0.58579,0.46397,0.01855,13.7436,1.35625,3.05107e-05,3.05107e-05,3.05107e-05
30,18.457,0.02759,33.3964,2.96392,0.90079,0.52809,0.58579,0.46397,0.01855,13.7436,1.35625,3.14964e-05,3.14964e-05,3.14964e-05
31,18.9201,0.03393,36.0837,3.21041,0.90575,0.52918,0.60318,0.47511,0.01874,14.0866,1.36127,3.2475e-05,3.2475e-05,3.2475e-05
32,19.3468,0.03193,26.9794,3.02712,0.90575,0.52918,0.60318,0.47511,0.01874,14.0866,1.36127,3.34464e-05,3.34464e-05,3.34464e-05
33,19.757,0.03062,28.5185,2.80488,0.90575,0.52918,0.60318,0.47511,0.01874,14.0866,1.36127,3.44107e-05,3.44107e-05,3.44107e-05
34,20.2027,0.02778,30.125,2.86776,0.8926,0.54025,0.59918,0.45687,0.01908,14.6045,1.38192,3.53678e-05,3.53678e-05,3.53678e-05
35,20.6472,0.03246,30.7305,3.19878,0.8926,0.54025,0.59918,0.45687,0.01908,14.6045,1.38192,3.63177e-05,3.63177e-05,3.63177e-05
36,21.0722,0.03197,27.7922,2.95474,0.8926,0.54025,0.59918,0.45687,0.01908,14.6045,1.38192,3.72604e-05,3.72604e-05,3.72604e-05
