metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8387,0.55,0.57651,0.45768,0.01909,13.38827,1.38097,24,1770203278,,False,24,b0787_00000,2026-02-04_11-07-58,0.40036606788635254,29.953939199447632,1423,docker-desktop,192.168.65.3,29.953939199447632,24
0.90075,0.5399,0.57548,0.45735,0.0189,13.34616,1.37327,25,1770203279,,False,25,b0787_00000,2026-02-04_11-07-59,0.43749380111694336,30.391433000564575,1423,docker-desktop,192.168.65.3,30.391433000564575,25
0.90075,0.5399,0.57548,0.45735,0.0189,13.34616,1.37327,26,1770203279,,False,26,b0787_00000,2026-02-04_11-07-59,0.4015367031097412,30.792969703674316,1423,docker-desktop,192.168.65.3,30.792969703674316,26
0.90075,0.5399,0.57548,0.45735,0.0189,13.34616,1.37327,27,1770203279,,False,27,b0787_00000,2026-02-04_11-07-59,0.4080657958984375,31.201035499572754,1423,docker-desktop,192.168.65.3,31.201035499572754,27
0.90079,0.52809,0.58579,0.46397,0.01855,13.74357,1.35625,28,1770203280,,False,28,b0787_00000,2026-02-04_11-08-00,0.4278531074523926,31.628888607025146,1423,docker-desktop,192.168.65.3,31.628888607025146,28
0.90079,0.52809,0.58579,0.46397,0.01855,13.74357,1.35625,29,1770203281,,False,29,b0787_00000,2026-02-04_11-08-01,0.6956360340118408,32.32452464103699,1423,docker-desktop,192.168.65.3,32.32452464103699,29
0.90079,0.52809,0.58579,0.46397,0.01855,13.74357,1.35625,30,1770203281,,False,30,b0787_00000,2026-02-04_11-08-01,0.4358346462249756,32.76035928726196,1423,docker-desktop,192.168.65.3,32.76035928726196,30
0.90575,0.52918,0.60318,0.47511,0.01874,14.08661,1.36127,31,1770203281,,False,31,b0787_00000,2026-02-04_11-08-01,0.4555683135986328,33.215927600860596,1423,docker-desktop,192.168.65.3,33.215927600860596,31
0.90575,0.52918,0.60318,0.47511,0.01874,14.08661,1.36127,32,1770203282,,False,32,b0787_00000,2026-02-04_11-08-02,0.4194011688232422,33.63532876968384,1423,docker-desktop,192.168.65.3,33.63532876968384,32
0.90575,0.52918,0.60318,0.47511,0.01874,14.08661,1.36127,33,1770203282,,False,33,b0787_00000,2026-02-04_11-08-02,0.4106876850128174,34.046016454696655,1423,docker-desktop,192.168.65.3,34.046016454696655,33
0.8926,0.54025,0.59918,0.45687,0.01908,14.60454,1.38192,34,1770203283,,False,34,b0787_00000,2026-02-04_11-08-03,0.4693617820739746,34.51537823677063,1423,docker-desktop,192.168.65.3,34.51537823677063,34
0.8926,0.54025,0.59918,0.45687,0.01908,14.60454,1.38192,35,1770203283,,False,35,b0787_00000,2026-02-04_11-08-03,0.40785670280456543,34.923234939575195,1423,docker-desktop,192.168.65.3,34.923234939575195,35
0.8926,0.54025,0.59918,0.45687,0.01908,14.60454,1.38192,36,1770203284,,False,36,b0787_00000,2026-02-04_11-08-04,0.4227933883666992,35.346028327941895,1423,docker-desktop,192.168.65.3,35.346028327941895,36
0.8926,0.54025,0.59918,0.45687,0.01908,14.60454,1.38192,37,1770203284,,False,37,b0787_00000,2026-02-04_11-08-04,0.3959996700286865,35.74202799797058,1423,docker-desktop,192.168.65.3,35.74202799797058,37
0.87118,0.54442,0.59499,0.45812,0.01919,15.90025,1.40163,38,1770203284,,False,38,b0787_00000,2026-02-04_11-08-04,0.4189732074737549,36.161001205444336,1423,docker-desktop,192.168.65.3,36.161001205444336,38
0.87118,0.54442,0.59499,0.45812,0.01919,15.90025,1.40163,39,1770203285,,False,39,b0787_00000,2026-02-04_11-08-05,0.3676121234893799,36.528613328933716,1423,docker-desktop,192.168.65.3,36.528613328933716,39
0.87118,0.54442,0.59499,0.45812,0.01919,15.90025,1.40163,40,1770203285,,False,40,b0787_00000,2026-02-04_11-08-05,0.5670793056488037,37.09569263458252,1423,docker-desktop,192.168.65.3,37.09569263458252,40
0.87118,0.54442,0.59499,0.45812,0.01919,15.90025,1.40163,41,1770203286,,False,41,b0787_00000,2026-02-04_11-08-06,0.37950754165649414,37.475200176239014,1423,docker-desktop,192.168.65.3,37.475200176239014,41
0.84903,0.54551,0.59369,0.45799,0.01942,15.95825,1.40254,42,1770203286,,False,42,b0787_00000,2026-02-04_11-08-06,0.4033958911895752,37.87859606742859,1423,docker-desktop,192.168.65.3,37.87859606742859,42
0.84903,0.54551,0.59369,0.45799,0.01942,15.95825,1.40254,43,1770203287,,False,43,b0787_00000,2026-02-04_11-08-07,0.3975098133087158,38.276105880737305,1423,docker-desktop,192.168.65.3,38.276105880737305,43
0.84903,0.54551,0.59369,0.45799,0.01942,15.95825,1.40254,44,1770203287,,False,44,b0787_00000,2026-02-04_11-08-07,0.40199923515319824,38.6781051158905,1423,docker-desktop,192.168.65.3,38.6781051158905,44
0.84903,0.54551,0.59369,0.45799,0.01942,15.95825,1.40254,45,1770203287,,False,45,b0787_00000,2026-02-04_11-08-07,0.390683650970459,39.06878876686096,1423,docker-desktop,192.168.65.3,39.06878876686096,45
