epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,25.0861,0.02362,3.20862,2.3712,0.86591,0.54824,0.65421,0.49534,0.01768,1.79647,1.39364,4.31049e-05,4.31049e-05,4.31049e-05
40,25.5599,0.02483,3.31509,2.94721,0.86591,0.54824,0.65421,0.49534,0.01768,1.79647,1.39364,4.41821e-05,4.41821e-05,4.41821e-05
41,25.9963,0.02558,3.1737,2.5994,0.86591,0.54824,0.65421,0.49534,0.01768,1.79647,1.39364,4.52564e-05,4.52564e-05,4.52564e-05
42,26.6882,0.0237,2.11296,2.12821,0.86307,0.53905,0.62156,0.46371,0.01751,1.85212,1.40644,4.63278e-05,4.63278e-05,4.63278e-05
43,27.1452,0.01934,1.98451,1.83227,0.86307,0.53905,0.62156,0.46371,0.01751,1.85212,1.40644,4.73962e-05,4.73962e-05,4.73962e-05
44,27.6314,0.02358,2.29393,2.12707,0.86307,0.53905,0.62156,0.46371,0.01751,1.85212,1.40644,4.84617e-05,4.84617e-05,4.84617e-05
45,28.0917,0.02393,2.15134,2.46291,0.86307,0.53905,0.62156,0.46371,0.01751,1.85212,1.40644,4.95243e-05,4.95243e-05,4.95243e-05
46,28.7979,0.01911,1.73824,1.89257,0.84904,0.53745,0.60326,0.44609,0.01726,1.93265,1.4182,5.05839e-05,5.05839e-05,5.05839e-05
47,29.3477,0.02054,2.21951,2.01524,0.84904,0.53745,0.60326,0.44609,0.01726,1.93265,1.4182,5.16406e-05,5.16406e-05,5.16406e-05
48,29.8295,0.02134,1.91732,2.12395,0.84904,0.53745,0.60326,0.44609,0.01726,1.93265,1.4182,5.26944e-05,5.26944e-05,5.26944e-05
49,30.313,0.023,2.67934,2.37299,0.84904,0.53745,0.60326,0.44609,0.01726,1.93265,1.4182,5.37453e-05,5.37453e-05,5.37453e-05
50,30.8382,0.01882,2.98354,1.86188,0.83409,0.53826,0.56107,0.44235,0.01714,2.09457,1.46785,5.47932e-05,5.47932e-05,5.47932e-05
51,31.3126,0.01741,1.7906,1.69556,0.83409,0.53826,0.56107,0.44235,0.01714,2.09457,1.46785,5.58382e-05,5.58382e-05,5.58382e-05
