metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.81155,0.83246,0.88898,0.6324,0.01618,1.14407,1.28374,1,1770203317,,False,1,b0787_00001,2026-02-04_11-08-37,19.30012059211731,19.30012059211731,1870,docker-desktop,192.168.65.3,19.30012059211731,1
0.76639,0.83333,0.88904,0.61874,0.01633,1.12469,1.27907,2,1770203318,,False,2,b0787_00001,2026-02-04_11-08-38,1.0755221843719482,20.375642776489258,1870,docker-desktop,192.168.65.3,20.375642776489258,2
0.83439,0.74962,0.88928,0.62921,0.01636,1.13539,1.27602,3,1770203318,,False,3,b0787_00001,2026-02-04_11-08-38,0.3877131938934326,20.76335597038269,1870,docker-desktop,192.168.65.3,20.76335597038269,3
0.8225,0.75,0.88907,0.62761,0.01643,1.15011,1.26934,4,1770203318,,False,4,b0787_00001,2026-02-04_11-08-38,0.40057373046875,21.16392970085144,1870,docker-desktop,192.168.65.3,21.16392970085144,4
0.83271,0.74918,0.8892,0.62821,0.01671,1.17552,1.28746,5,1770203319,,False,5,b0787_00001,2026-02-04_11-08-39,0.5608024597167969,21.724732160568237,1870,docker-desktop,192.168.65.3,21.724732160568237,5
0.8352,0.74952,0.8892,0.60745,0.0168,1.18985,1.29448,6,1770203320,,False,6,b0787_00001,2026-02-04_11-08-40,0.6891462802886963,22.413878440856934,1870,docker-desktop,192.168.65.3,22.413878440856934,6
0.81519,0.75,0.88936,0.6198,0.0168,1.20925,1.29865,7,1770203321,,False,7,b0787_00001,2026-02-04_11-08-41,0.7880039215087891,23.201882362365723,1870,docker-desktop,192.168.65.3,23.201882362365723,7
0.79003,0.75,0.88952,0.61863,0.01703,1.21488,1.30475,8,1770203321,,False,8,b0787_00001,2026-02-04_11-08-41,0.5172762870788574,23.71915864944458,1870,docker-desktop,192.168.65.3,23.71915864944458,8
0.79003,0.75,0.88952,0.61863,0.01703,1.21488,1.30475,9,1770203322,,False,9,b0787_00001,2026-02-04_11-08-42,0.5235545635223389,24.24271321296692,1870,docker-desktop,192.168.65.3,24.24271321296692,9
0.72471,0.75,0.87343,0.6054,0.01711,1.25556,1.30715,10,1770203322,,False,10,b0787_00001,2026-02-04_11-08-42,0.5022778511047363,24.744991064071655,1870,docker-desktop,192.168.65.3,24.744991064071655,10
0.72471,0.75,0.87343,0.6054,0.01711,1.25556,1.30715,11,1770203323,,False,11,b0787_00001,2026-02-04_11-08-43,0.4561159610748291,25.201107025146484,1870,docker-desktop,192.168.65.3,25.201107025146484,11
0.6751,0.75,0.83737,0.59752,0.01737,1.28613,1.3273,12,1770203323,,False,12,b0787_00001,2026-02-04_11-08-43,0.48424243927001953,25.685349464416504,1870,docker-desktop,192.168.65.3,25.685349464416504,12
0.6751,0.75,0.83737,0.59752,0.01737,1.28613,1.3273,13,1770203324,,False,13,b0787_00001,2026-02-04_11-08-44,0.48680925369262695,26.17215871810913,1870,docker-desktop,192.168.65.3,26.17215871810913,13
0.64586,0.75,0.83532,0.59704,0.01738,1.36365,1.32133,14,1770203324,,False,14,b0787_00001,2026-02-04_11-08-44,0.5133788585662842,26.685537576675415,1870,docker-desktop,192.168.65.3,26.685537576675415,14
0.64586,0.75,0.83532,0.59704,0.01738,1.36365,1.32133,15,1770203325,,False,15,b0787_00001,2026-02-04_11-08-45,0.4651811122894287,27.150718688964844,1870,docker-desktop,192.168.65.3,27.150718688964844,15
0.71401,0.75,0.75257,0.58875,0.01773,1.39271,1.33795,16,1770203325,,False,16,b0787_00001,2026-02-04_11-08-45,0.4370899200439453,27.58780860900879,1870,docker-desktop,192.168.65.3,27.58780860900879,16
0.71401,0.75,0.75257,0.58875,0.01773,1.39271,1.33795,17,1770203325,,False,17,b0787_00001,2026-02-04_11-08-45,0.4307138919830322,28.01852250099182,1870,docker-desktop,192.168.65.3,28.01852250099182,17
0.94073,0.53828,0.76618,0.59164,0.01793,1.41201,1.35093,18,1770203326,,False,18,b0787_00001,2026-02-04_11-08-46,0.45658206939697266,28.475104570388794,1870,docker-desktop,192.168.65.3,28.475104570388794,18
0.94073,0.53828,0.76618,0.59164,0.01793,1.41201,1.35093,19,1770203326,,False,19,b0787_00001,2026-02-04_11-08-46,0.4160134792327881,28.891118049621582,1870,docker-desktop,192.168.65.3,28.891118049621582,19
0.93804,0.54096,0.74924,0.58969,0.01832,1.46701,1.37598,20,1770203327,,False,20,b0787_00001,2026-02-04_11-08-47,0.47379446029663086,29.364912509918213,1870,docker-desktop,192.168.65.3,29.364912509918213,20
0.93804,0.54096,0.74924,0.58969,0.01832,1.46701,1.37598,21,1770203327,,False,21,b0787_00001,2026-02-04_11-08-47,0.44512224197387695,29.81003475189209,1870,docker-desktop,192.168.65.3,29.81003475189209,21
0.94256,0.53963,0.74518,0.57199,0.01808,1.53173,1.38199,22,1770203328,,False,22,b0787_00001,2026-02-04_11-08-48,0.6690585613250732,30.479093313217163,1870,docker-desktop,192.168.65.3,30.479093313217163,22
0.94256,0.53963,0.74518,0.57199,0.01808,1.53173,1.38199,23,1770203328,,False,23,b0787_00001,2026-02-04_11-08-48,0.4659149646759033,30.945008277893066,1870,docker-desktop,192.168.65.3,30.945008277893066,23
0.94256,0.53963,0.74518,0.57199,0.01808,1.53173,1.38199,24,1770203329,,False,24,b0787_00001,2026-02-04_11-08-49,0.4828953742980957,31.427903652191162,1870,docker-desktop,192.168.65.3,31.427903652191162,24
0.96215,0.52239,0.74438,0.58866,0.01836,1.5566,1.39156,25,1770203329,,False,25,b0787_00001,2026-02-04_11-08-49,0.47949647903442383,31.907400131225586,1870,docker-desktop,192.168.65.3,31.907400131225586,25
0.96215,0.52239,0.74438,0.58866,0.01836,1.5566,1.39156,26,1770203330,,False,26,b0787_00001,2026-02-04_11-08-50,0.4260261058807373,32.33342623710632,1870,docker-desktop,192.168.65.3,32.33342623710632,26
0.96215,0.52239,0.74438,0.58866,0.01836,1.5566,1.39156,27,1770203330,,False,27,b0787_00001,2026-02-04_11-08-50,0.6959941387176514,33.029420375823975,1870,docker-desktop,192.168.65.3,33.029420375823975,27
0.8787,0.55086,0.74375,0.58843,0.0183,1.63174,1.4063,28,1770203331,,False,28,b0787_00001,2026-02-04_11-08-51,0.59078049659729,33.620200872421265,1870,docker-desktop,192.168.65.3,33.620200872421265,28
0.8787,0.55086,0.74375,0.58843,0.0183,1.63174,1.4063,29,1770203332,,False,29,b0787_00001,2026-02-04_11-08-52,0.49025464057922363,34.11045551300049,1870,docker-desktop,192.168.65.3,34.11045551300049,29
0.8787,0.55086,0.74375,0.58843,0.0183,1.63174,1.4063,30,1770203332,,False,30,b0787_00001,2026-02-04_11-08-52,0.6499676704406738,34.76042318344116,1870,docker-desktop,192.168.65.3,34.76042318344116,30
0.88051,0.55061,0.74365,0.58854,0.01862,1.64428,1.40763,31,1770203333,,False,31,b0787_00001,2026-02-04_11-08-53,0.6081769466400146,35.36860013008118,1870,docker-desktop,192.168.65.3,35.36860013008118,31
0.88051,0.55061,0.74365,0.58854,0.01862,1.64428,1.40763,32,1770203333,,False,32,b0787_00001,2026-02-04_11-08-53,0.4980812072753906,35.86668133735657,1870,docker-desktop,192.168.65.3,35.86668133735657,32
0.88051,0.55061,0.74365,0.58854,0.01862,1.64428,1.40763,33,1770203334,,False,33,b0787_00001,2026-02-04_11-08-54,0.5371499061584473,36.403831243515015,1870,docker-desktop,192.168.65.3,36.403831243515015,33
0.87181,0.55236,0.65519,0.51214,0.01799,1.72524,1.38754,34,1770203334,,False,34,b0787_00001,2026-02-04_11-08-54,0.5338046550750732,36.93763589859009,1870,docker-desktop,192.168.65.3,36.93763589859009,34
0.87181,0.55236,0.65519,0.51214,0.01799,1.72524,1.38754,35,1770203335,,False,35,b0787_00001,2026-02-04_11-08-55,0.46502017974853516,37.40265607833862,1870,docker-desktop,192.168.65.3,37.40265607833862,35
0.87181,0.55236,0.65519,0.51214,0.01799,1.72524,1.38754,36,1770203335,,False,36,b0787_00001,2026-02-04_11-08-55,0.5044348239898682,37.90709090232849,1870,docker-desktop,192.168.65.3,37.90709090232849,36
0.87181,0.55236,0.65519,0.51214,0.01799,1.72524,1.38754,37,1770203336,,False,37,b0787_00001,2026-02-04_11-08-56,0.5565826892852783,38.46367359161377,1870,docker-desktop,192.168.65.3,38.46367359161377,37
0.86591,0.54824,0.65421,0.49534,0.01768,1.79647,1.39364,38,1770203336,,False,38,b0787_00001,2026-02-04_11-08-56,0.503485918045044,38.96715950965881,1870,docker-desktop,192.168.65.3,38.96715950965881,38
0.86591,0.54824,0.65421,0.49534,0.01768,1.79647,1.39364,39,1770203337,,False,39,b0787_00001,2026-02-04_11-08-57,0.465778112411499,39.43293762207031,1870,docker-desktop,192.168.65.3,39.43293762207031,39
0.86591,0.54824,0.65421,0.49534,0.01768,1.79647,1.39364,40,1770203337,,False,40,b0787_00001,2026-02-04_11-08-57,0.4490513801574707,39.88198900222778,1870,docker-desktop,192.168.65.3,39.88198900222778,40
0.86591,0.54824,0.65421,0.49534,0.01768,1.79647,1.39364,41,1770203338,,False,41,b0787_00001,2026-02-04_11-08-58,0.657865047454834,40.53985404968262,1870,docker-desktop,192.168.65.3,40.53985404968262,41
0.86307,0.53905,0.62156,0.46371,0.01751,1.85212,1.40644,42,1770203339,,False,42,b0787_00001,2026-02-04_11-08-59,0.4623746871948242,41.00222873687744,1870,docker-desktop,192.168.65.3,41.00222873687744,42
0.86307,0.53905,0.62156,0.46371,0.01751,1.85212,1.40644,43,1770203339,,False,43,b0787_00001,2026-02-04_11-08-59,0.49184751510620117,41.49407625198364,1870,docker-desktop,192.168.65.3,41.49407625198364,43
0.86307,0.53905,0.62156,0.46371,0.01751,1.85212,1.40644,44,1770203339,,False,44,b0787_00001,2026-02-04_11-08-59,0.4427614212036133,41.936837673187256,1870,docker-desktop,192.168.65.3,41.936837673187256,44
